symptoms,topic
"Does not go away after 3 months and both ears are affected,Does not go away after 6 months and fluid is only in 1 ear,A severe ear infection that spreads to nearby bones (mastoiditis) or the brain, or that damages nearby nerves,Injury to the ear after sudden changes in pressure from flying or deep sea diving",Ear tube insertion
"An inherited tendency to have this facial feature,A genetic syndrome that includes having these pits or tags,A sinus tract problem (an abnormal connection between the skin and tissue underneath)",Ear tag
,Foods - fresh vs. frozen or canned
,Food safety
,Food poisoning prevention
" (may be bloody), and chills, (may be serious) ",Food poisoning
"Have other family members help set a good example by eating a variety of healthy foods.,Prepare meals with different colors and textures that are pleasing to the eye.,Start introducing new tastes, especially green vegetables, beginning at 6 months, in the form of baby food.,Keep offering rejected foods. It can take multiple exposures before the new food is accepted.,Never try to force a child to eat. Mealtime should not be a time of fighting. Children will eat when hungry., in between meals to allow children to build up an appetite for healthy foods.,Make sure children are seated comfortably at meal times and are not distracted. ",Food jags
,Food guide plate
"Trouble swallowing, of the mouth, throat, eyes, skin, or any other area,Light headedness or ,, runny nose,, ,, ,, or ,Swelling (,), especially of the eyelids, face, lips, and tongue,Itchy lips, tongue, and throat,Swollen lips (sometimes) ",Food allergy
"Antibiotics given to food-producing animals, such as chickens and cows,Antioxidants in oily or fatty foods,Artificial sweeteners, such as aspartame, saccharin, sodium cyclamate, and sucralose,Benzoic acid in fruit juices,Lecithin, gelatins, cornstarch, waxes, gums, and propylene glycol in food stabilizers and emulsifiers,Many different dyes and coloring substances,Monosodium glutamate (MSG),Nitrates and nitrites in hot dogs and other processed meat products,Sulfites in beer, wine, and packaged vegetables",Food additives
 (not enough fluid in the body),Fontanelles - sunken
"Down syndrome,Intrauterine growth retardation (IUGR),Premature birth,Achondroplasia,Apert syndrome,Cleidocranial dysostosis,Osteogenesis imperfecta,Rickets ",Fontanelles - enlarged
,Food labeling
". Swelling (inflammation) of the brain, most often due to infections.,. A buildup of fluid inside the skull.,Increased intracranial pressure,. Infection of the membranes covering the brain. ",Fontanelles - bulging
,Folliculitis
,Follicle-stimulating hormone (FSH) blood test
"Dark green leafy vegetables,Dried beans and peas (legumes),Citrus fruits and juices ",Folic acid in diet
,Folic acid and birth defect prevention
"Headache,Sore mouth and tongue ",Folate-deficiency anemia
"Fatigue, irritability, or diarrhea ,Poor growth,Smooth and tender tongue",Folate deficiency
"Alcohol,Aminosalicylic acid,Birth control pills,Estrogens,Tetracyclines,Ampicillin,Chloramphenicol,Erythromycin,Methotrexate,Penicillin,Aminopterin,Phenobarbital,Phenytoin,Drugs to treat malaria",Folic acid - test
"Foamy urine (from excess protein in the urine),Poor appetite,Swelling, called generalized ,, from fluids held in the body,Weight gain ",Focal segmental glomerulosclerosis
"Abnormal blood vessels (vascular malformation),Degenerative nerve illness,Disorders of a single nerve or nerve group (for example, ,),Infection,Injury",Focal neurological deficits
,Flushable reagent stool blood test
"Certain mouthwashes and toothpastes,Certain vitamins (Tri-Vi-Flor, Poly-Vi-Flor, Vi-Daylin F),Water that has fluoride added to it,Sodium fluoride liquid and tablets,Etching cream (also called acid cream, used to etch designs in drinking glasses),Roach powders",Fluoride overdose
,Fluoride in diet
,Fluorescein eye stain
,Fluorescein angiography
,Fluid imbalance
"Body aches,Chills,Dizziness,Flushed face,Lack of energy,Nausea and vomiting ,Dry cough,Increased symptoms that affect breathing,Runny nose (clear and watery),Sneezing,Sore throat ",Flu
"Has small bumps, often three bumps together, that may itch and bleed,May be located on the armpit or fold of a joint (at the elbow, knee, or ankle),Turns white when pressed,May develop in skin folds, such as under breasts or in the groin ",Fleas
,Flat feet
"Arthritis or infection of the spine,Back problem, such as disk disease,Gallbladder disease,Gastrointestinal disease,Liver disease,Kidney stone, infection, or abscess, (pain with one-sided ,),Spinal fracture ",Flank pain
,Flat bones
,Fistula
"Abdominal discomfort or pain,Diarrhea,Weakness,Weight loss",Fish tapeworm infection
"Pain,Localized ",Fishhook removal
,Developmental milestones record - 18 months
,Developmental milestones record - 12 months
,Developmental milestones record
"Leg with hip problem may appear to turn out more,Reduced movement on the side of the body with the dislocation,Shorter leg on the side with the hip dislocation,Uneven skin folds of thigh or buttocks ,Waddling or limping while walking,One shorter leg, so the child walks on their toes on one side and not the other side,The child's lower back is rounded inward ",Developmental dysplasia of the hip
"Breasts do not grow,Cannot empty the bladder,Lump in the stomach area, usually due to blood or mucus that cannot flow out,Menstrual flow that occurs despite using a tampon (a sign of a second vagina),Monthly cramping or pain, without menstruation,No menstruation (,),Pain with sex,Repeated , or preterm births (may be due to an abnormal uterus)",Developmental disorders of the female genital tract
"Delays in sitting up, crawling, and walking,Problems with sucking and swallowing during first year of life,Problems with gross motor coordination (for example, jumping, hopping, or standing on one foot),Problems with visual or fine motor coordination (for example, writing, using scissors, tying shoelaces, or tapping one finger to another) ",Developmental coordination disorder
"Severe change in acid level of blood (pH balance), which leads to damage in all of the body organs ,Loss of vision,Severe pain in the throat,Severe pain or burning in the nose, eyes, ears, lips, or tongue ,Burns and possible holes in the throat (esophagus),Severe ,Vomiting,Collapse, that develops rapidly ,Breathing difficulty (from breathing in the detergent),Throat swelling (may also cause breathing difficulty) ,Burns,Holes (necrosis) in the skin or tissues underneath,Irritation ",Detergent poisoning
"Norpramin,Nebril,Nortimil,Pertofrane,Pertofrin,Sertofren ",Desipramine hydrochloride overdose
,Dermatoses - systemic
", stiffness, or soreness,Problems swallowing,Purple color to the upper eyelids,Purple-red skin rash",Dermatomyositis
"Extremely itchy bumps or blisters, most often on the elbows, knees, back, and buttocks,The rash is usually the same size and shape on both sides,The rash can look like eczema,Some people may have scratch marks and skin erosions instead of blisters ",Dermatitis herpetiformis
"Age-related skin growths,Fine lines and ,, such as around the mouth,Precancerous growths,Scars on the face due to ,, accidents, or previous surgery ",Dermabrasion
"Returning symptoms, such as severe depression,Increased risk of suicide (for some people),Withdrawal symptoms, which could feel like the flu or produce sleep problems, dizziness, headache, anxiety, or irritability ",Depression - stopping your medicines
"Alcohol or drug abuse,Medical conditions, such as cancer or long-term (chronic) pain,Stressful life events, such as job loss, divorce, or death of a spouse or other family member,Social isolation (a common cause of depression in older adults)",Depression - overview
,Depression - older adults
,Depression - resources
,Depilatory poisoning
"Avoiding being alone,Avoiding personal responsibility,Becoming easily hurt by criticism or disapproval,Becoming overly focused on fears of being abandoned,Becoming very passive in relationships,Feeling very upset or helpless when relationships end,Having difficulty making decisions without support from others,Having problems expressing disagreements with others ",Dependent personality disorder
,Deodorant poisoning
,Dental x-rays
,Denture problems
"Clean the tops of the molars and premolars.,Put a conditioning acid gel on the top of the molar for a few seconds.,Rinse and dry the tooth surface.,Paint the sealant into the grooves of the tooth.,Shine a light on the sealant to help it dry and harden. This takes about 10 to 30 seconds.",Dental sealants
,Dental plaque identification at home
"Attach a bridge, which fills a gap created by missing teeth,Repair a weak tooth and keep it from breaking,Support and cover a tooth,Replace a misshapen tooth or dental implant,Correct a misaligned tooth,Large cavity with too little of the natural tooth left to hold a filling ,Chipped or broken tooth,Worn down or cracked tooth from grinding your teeth,Discolored or stained tooth,Badly shaped tooth that does not match your other teeth",Dental crowns
"Tooth pain or achy feeling, particularly after sweet or hot or cold foods and drinks,Visible pits or holes in the teeth",Dental cavities
,Dental care - adult
"Decreased appetite,Fever,Headache,Joint or muscle aches,General ill feeling,Vomiting ,Patches of blood under the skin,Tiny spots of blood on the skin,Generalized rash,Worsening early symptoms ,Cold, clammy arms and legs,Sweating ",Dengue hemorrhagic fever
,Dental care - child
"Fatigue,Headache (especially behind the eyes), (often severe), (often severe),Nausea and vomiting,Swollen lymph nodes,Cough,Sore throat,Nasal stuffiness",Dengue fever
"Difficulty with tasks that take some thought but used to come easily, such as balancing a checkbook, playing games (such as bridge), and learning new information or routines,Getting lost on familiar routes,Language problems, such as trouble with names of familiar objects,Losing interest in things previously enjoyed, flat mood,Misplacing items,Personality changes and loss of social skills, which can lead to inappropriate behaviors,Changing sleep patterns, often waking up at night,Forgetting details about current events, forgetting events in one's life history,Having difficulty doing basic tasks, such as preparing meals, choosing proper clothing, or driving,Having hallucinations, arguments, striking out, and behaving violently,More difficulty reading or writing,Poor judgment and losing the ability to recognize danger,Using the wrong word, not pronouncing words correctly, speaking in confusing sentences,Withdrawing from social contact",Dementia due to metabolic causes
